jockey,jockey_marks
莫雷拉,7794
巫顯東,-967
梁家俊,-1701
田泰安,2286
何澤堯,-205
蔡明紹,-245
黎海榮,-2557
潘明輝,-15
薛恩,-17
楊明綸,-2223
賀銘年,-125
黃皓楠,-1972
潘頓,7158
巴度,369
史卓豐,360
陳嘉熙,-18
周俊樂,493
郭能,565
波健士,-177
黃俊,-425
彭國年,-140
巴米高,89
杜苑欣,100
布宜學,108
馬昆,96
布達德,94
莫雅,251
李威廉,96
松岡正海,108
蘇銘倫,183
馬雅,-10
班德禮,47
松山弘平,100
沈拿,-334
希威森,-188
貝力斯,-158
利敬國,395
杜美爾,228
李寶利,108
蘇狄雄,-2332
何華麟,76
布文,268
蘇兆輝,633
麥道朗,101
莫艾誠,-32
川田將雅,103
簡國能,101
戴圖理,92
李慕華,101
紀仁安,126
麥維凱,103
韋米高,95
屈迪生,96
羅敦,88
艾道拿,94
連達文,-21
柏士祺,97
史賓沙,98
韋達,3296
麥偉利,-194
吳嘉晉,-1934
賴維銘,-1490
祈普敦,30
巫斯義,452
安國倫,742
武豊,107
卡素蘭奴,99
岩田康誠,120
杜俊誠,88
杜滿萊,170
夏禮賢,-46
貝湯美,287
岳禮華,111
韋紀力,167
郭立基,3
寶戴勒,98
查維斯,104
林凱,90
史偉恩,84
服部茂史,97
杜利萊,397
柏寶,1262
羅理雅,669
杜滿樂,94
高君濤,78
韓偉傑,88
柏列特,103
戶崎圭太,97
史科菲,98
高俊誠,100
李輝,98
柏兆雷,86
貝卓成,100
許覺能,93
艾兆禮,51
寶遜,-26
蔣嘉琦,160
鄭雨滇,-569
鄭朗升,102
施慕齡,85
雷景勳,41
祖格拉,63
麥露絲,100
沃斯特,95
苗康文,98
李尊,96
岳品賢,99
韋爾納,96
普健士,95
顧偉樂,89
霍勵賢,156
湯智傑,-1876
貝諾華,66
湛明諾,15
伊偉舵,86
薛寶力,-863
濱中俊,102
羅沙理奧,100
基士希斯,98
蛯名正義,96
杜漢培,96
查爾尼,97
白布朗,106
羅達,86
姚力高,83
沈駱士,98
王峻鋒,99
鍾駿緯,95
白博萊,95
呂卓賢,-69
李富,-38
夏偉卓,83
福永祐一,107
關銘諾,98
奧天信,90
池添謙一,101
范以誠,100
萬寧,98
大野拓彌,100
冼文諾,91
Ｂ伍活,100
范德保,101
彭利力,-15
歐道樂,13
馬偉昌,191
史文夫,97
史提芬,89
杜理斯,100
薛達祺,92
莫狄,102
都爾,-102
翟利隆,100
邵偉華,100
余健雄,89
杜鵬志,100
柴田大知,96
馬安東,105
普萊西,78
王志偉,-414
祁義理,20
賈西迪,99
內田博幸,96
高雅志,99
杜西奧,93
徐錦輝,96
卡格斯,95
鄧迪,104
貝禮頓,107
白德民,217
卓利,-23
勞愛德,163
勞倫,95
安藤勝己,95
包富彪,100
曉斯,95
李富臨,100
韋德堯,100
錢健明,100
何柏特,100
郭本誠,99
范義龍,87
柏威廉,73
薛凱文,96
薛凱華,57
