trainer,trainer_marks
方嘉柏,1274
鄭俊偉,-1270
葉楚航,-513
丁冠豪,-125
文家良,-710
何良,-1262
蘇偉賢,-515
容天鵬,-109
苗禮德,584
徐雨石,-1093
大衛希斯,-73
韋達,292
呂健威,472
賀賢,337
姚本輝,399
告東尼,1109
沈集成,444
蔡約翰,4270
蘇保羅,523
霍利時,-400
羅富全,1062
高伯新,-58
岳伯仁,99
雷里雅,96
安田隆行,115
藤澤和雄,96
友道康夫,110
高敦,96
萩原清,104
畠山吉宏,110
中內田充正,100
矢作芳人,103
尾關知人,100
杉山晴紀,100
辻野泰之,100
約翰摩亞,1760
劉志森,97
松永幹夫,104
橋田滿,104
布蘭婷,101
莫威利,101
郗國思,98
范朗善,98
查爾頓,97
李善,96
池江泰壽,101
音無秀孝,97
司徒德爵士,84
羅迪普,108
麥菲文,-29
衛爾德,99
費伯華,112
喬偉傑,100
西浦勝一,99
岳本賢,98
鄧樂普,102
瑞爾士,100
高橋義忠,100
倪事和,97
包義定,94
華禮納,97
淺見秀一,100
韋嘉,98
藤原英昭,110
菲德文,101
杉浦宏昭,100
簡利華,98
畢迪文,97
杜迪爵士,95
梁國浩,100
謝貴全,97
張兆煊,86
田中淳司,98
告達理,-695
李易達,-1010
艾柏賓,97
李森,95
霑士摩亞,85
白祈達,99
角居勝彥,105
向禮倫,96
郭艾迪,97
梅田智之,100
顧禮文,100
苗利雅,97
齋藤誠,102
盧漢德,96
沈國基,99
葛威法,96
堀宣行,123
大久保龍志,101
鄧力普,100
鮑歌蓮,96
吳定強,-912
布艾頓,100
紹爾,97
包貝義,98
巴利,95
摩加利,86
藤岡健一,99
鮑泰利,98
范鴻禧,96
蓋理文,95
田中剛,101
吉村圭司,99
坂口正則,103
馮耀正,96
譚文就,93
謝偉豪,97
庄建設,95
何萬達,100
巴托里寧,98
孫達志,-328
胡森,-282
杜誠高,111
伊奈拔殊,101
華特,100
李南,101
國枝榮,96
歐米羅,96
麥雅麗,95
赫德,100
韋卓勤,95
李家輝,99
王國全,87
郭克,97
賀米高,105
夏國廷,95
奧詩,95
奧哈拉,93
加藤和宏,96
平田修,100
薛根,97
鮑爾傑,98
何靳,103
高木登,100
鮫島一步,90
韋利安,100
賀蘭杜夫,95
鄒欽華,95
高仕登,104
須貝尚介,100
霍偉傑,97
古萬尼,100
胡拿,98
布銘球,95
韋卓文,95
顧偉堯,95
湯迪謀,98
甄敬康,97
薛拿,96
向能,98
清水久詞,103
羅仕達,100
羅敏士,99
上原博之,99
伍碧權,239
梁定華,-90
范思維,96
潘濤,97
柏利時,96
西園正都,100
司馬嘉,99
杜文,97
史迪芬,103
顧永賢,98
蘇萊,103
華萊士,97
侯耀誠,95
夏文,95
高禮,100
巴約翰,100
何傑仕,102
唐士庭,96
莫德,98
